InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
23735,20380,21765,-1385,-6.363427521,6.363427521,1,1,6,1,1
23736,16265,17387.085,-1122.085,-6.453554463,6.453554463,1,1,6,1,1
23737,15890,14283.33333,1606.666667,11.24854142,11.24854142,1,2.333333333,6,1,1
23738,10970,12795,-1825,-14.26338413,14.26338413,1,3,6,1,1
237506-2,32500,32000,500,1.5625,1.5625,1,3,1,2,1
237550-1,33000,39300,-6300,-16.03053435,16.03053435,1,3,1,0,1
237565-1,13400,18300,-4900,-26.77595628,26.77595628,1,4,1,6,1
237567-1,23000,22900,100,0.436681223,0.436681223,1,3,1,0,1
237576-1,30500,56700,-26200,-46.20811287,46.20811287,4,3,1,5,1
237592-1,37000,43500,-6500,-14.94252874,14.94252874,4,3,4,5,1
237592-2,27000,33700,-6700,-19.88130564,19.88130564,4,3,4,5,1
237632-1,14100,19500,-5400,-27.69230769,27.69230769,12,3,6,3,3
237650-2,32500,28900,3600,12.4567474,12.4567474,1,3,4,4,1
237650-3,28100,36600,-8500,-23.22404372,23.22404372,4,3,4,5,1
237965-1,14900,9800,5100,52.04081633,52.04081633,4,3,4,2,1
23799,41166.66667,38434.16667,2732.5,7.109559637,7.109559637,1,1,6,1,1
23800,25345,29647.5,-4302.5,-14.51218484,14.51218484,1,2,6,1,1
2381,1475,2000,-525,-26.25,26.25,12,4,4,1,3
23817,18030,17325.83,704.17,4.064278594,4.064278594,1,1,6,1,1
23823,46570,50628.5,-4058.5,-8.016235915,8.016235915,3,1,6,3,1
23825,20590,23980,-3390,-14.13678065,14.13678065,1,3,6,2,1
23828,88050,108505,-20455,-18.85166582,18.85166582,11,1,6,3,2
23830,41640,46642,-5002,-10.72423996,10.72423996,12,1,6,2,3
23832,13900,14380,-480,-3.337969402,3.337969402,1,3,6,2,1
23833,11590,13722,-2132,-15.53709372,15.53709372,1,3,6,3,1
23835,31536.66667,39743.16667,-8206.5,-20.64883271,20.64883271,1,1,6,3,1
238394-2,36666.66667,36466.66667,200,0.548446069,0.548446069,4,3,4,8,1
238394-2A,25000,27700,-2700,-9.747292419,9.747292419,4,3,4,3,1
238394-3,28000,36600,-8600,-23.49726776,23.49726776,4,3,4,5,1
238394-4,41500,55400,-13900,-25.09025271,25.09025271,12,3,5,5,3
238395-4,32500,38400,-5900,-15.36458333,15.36458333,4,3,5,7,1
238395-5,34500,40050,-5550,-13.8576779,13.8576779,4,3,5,2,1
238422-1,33750,28100,5650,20.10676157,20.10676157,4,3,1,5,1
238429-4,43000,48600,-5600,-11.52263374,11.52263374,4,3,4,1,1
238429-5,52500,49000,3500,7.142857143,7.142857143,4,3,1,4,1
238651-1,14600,12600,2000,15.87301587,15.87301587,4,3,4,3,1
238677-1,18500,18300,200,1.092896175,1.092896175,4,4,1,3,1
238720-1,7900,10600,-2700,-25.47169811,25.47169811,1,3,5,8,1
2388,7133.333333,8566.666667,-1433.333333,-16.73151751,16.73151751,12,4.333333333,4,3,3
23894,16060,17993.25,-1933.25,-10.74430689,10.74430689,12,3,6,3,3
23903,5193.333333,5645,-451.6666667,-8.001180986,8.001180986,2,4,6,2,1
2391,600,1100,-500,-45.45454545,45.45454545,12,5,1,0,3
23914,2960,3580,-620,-17.31843575,17.31843575,1,4,6,4,1
2396,3950,3866.666667,83.33333333,2.155172414,2.155172414,12,3.666666667,1,2,3
240373-1,8200,8440,-240,-2.843601896,2.843601896,4,3,1,3,1
24073,19300,17940,1360,7.580824972,7.580824972,2,1,6,4,1
240887-1,47500,44700,2800,6.263982103,6.263982103,4,3,5,6,1
240992-2,19600,20200,-600,-2.97029703,2.97029703,2,3,4,2,1
240992-5,24500,25000,-500,-2,2,2,3,4,2,1
